location,price,size,price_per_sqm,geo code ,scraped_at,page_number,page_url,price_numeric,,,,,,,price_per_rai
Lat Phrao ,"7,000,000",396,"17,677",,2025-07-30 13:14:21,1,https://www.thailand-property.com/land-for-sale/bangkok?page=2,,,,,,,,
Sai Mai ,"33,475,000","1,924","17,399",,2025-07-30 13:19:53,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Phasi Charoen ,"35,000,000","2,024","17,292",,2025-07-30 13:35:43,13,https://www.thailand-property.com/land-for-sale/bangkok?page=14,,,,,,,,
Taling Chan ,"3,320,000",196,"16,939",,2025-07-30 13:24:12,11,https://www.thailand-property.com/land-for-sale/bangkok?page=12,,,,,,,,
Lat Phrao ,"8,370,000",496,"16,875",,2025-07-30 13:15:54,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Phasi Charoen ,"21,900,000","1,320","16,591",,2025-07-30 13:23:03,10,https://www.thailand-property.com/land-for-sale/bangkok?page=11,,,,,,,,
Bang Bon ,"3,350,000",204,"16,422",,2025-07-30 13:21:58,9,https://www.thailand-property.com/land-for-sale/bangkok?page=10,,,,,,,,
Bang Kapi ,"11,505,000",708,"16,250",,2025-07-30 13:16:51,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Khan Na Yao ,"6,695,000",412,"16,250",,2025-07-30 13:18:23,5,https://www.thailand-property.com/land-for-sale/bangkok?page=6,,,,,,,,
Bueng Kum ,"6,500,000",400,"16,250",,2025-07-30 13:20:22,7,https://www.thailand-property.com/land-for-sale/bangkok?page=8,,,,,,,,
Bueng Kum ,"7,600,000",472,"16,102",,2025-07-30 13:15:17,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Bang Khun Thian ,"6,600,000",412,"16,019",,2025-07-30 13:23:00,10,https://www.thailand-property.com/land-for-sale/bangkok?page=11,,,,,,,,
Khan Na Yao ,"333,500,000","21,196","15,734",,2025-07-30 13:25:05,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Khan Na Yao ,"333,500,000","21,196","15,734",,2025-07-30 14:47:35,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Phra Khanong ,"4,400,000",280,"15,714",,2025-07-30 14:48:20,16,https://www.thailand-property.com/land-for-sale/bangkok?page=17,,,,,,,,
Bang Khae ,"4,390,000",280,"15,679",,2025-07-30 13:24:33,11,https://www.thailand-property.com/land-for-sale/bangkok?page=12,,,,,,,,
Lat Phrao ,"2,500,000",160,"15,625",,2025-07-30 13:15:47,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Lat Phrao ,"2,500,000",160,"15,625",,2025-07-30 13:17:16,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Khlong Sam Wa ,"99,275,000","6,400","15,512",,2025-07-30 13:15:35,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Bang Khen ,"4,650,000",308,"15,097",,2025-07-30 13:14:19,1,https://www.thailand-property.com/land-for-sale/bangkok?page=2,,,,,,,,
Khlong Sam Wa ,"7,150,000",476,"15,021",,2025-07-30 13:16:00,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Thawi Watthana ,"768,000,000","51,200","15,000",,2025-07-30 14:46:45,14,https://www.thailand-property.com/land-for-sale/bangkok?page=15,,,,,,,,
Lak Si ,"6,000,000",400,"15,000",,2025-07-30 13:20:52,8,https://www.thailand-property.com/land-for-sale/bangkok?page=9,,,,,,,,
Prawet ,"5,800,000",400,"14,500",,2025-07-30 14:49:11,17,https://www.thailand-property.com/land-for-sale/bangkok?page=18,,,,,,,,
Prawet ,"5,800,000",400,"14,500",,2025-07-30 13:19:51,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Sai Mai ,"2,850,000",204,"13,971",,2025-07-30 13:36:04,13,https://www.thailand-property.com/land-for-sale/bangkok?page=14,,,,,,,,
Sai Mai ,"2,850,000",204,"13,971",,2025-07-30 14:47:13,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Saphan Sung ,"22,000,000","1,600","13,750",,2025-07-30 13:17:13,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Bang Khen ,"38,000,000","2,832","13,418",,2025-07-30 13:14:28,1,https://www.thailand-property.com/land-for-sale/bangkok?page=2,,,,,,,,
Bang Khun Thian ,"20,829,000","1,572","13,250",,2025-07-30 13:35:50,13,https://www.thailand-property.com/land-for-sale/bangkok?page=14,,,,,,,,
Bang Khen ,"3,800,000",292,"13,014",,2025-07-30 13:18:00,5,https://www.thailand-property.com/land-for-sale/bangkok?page=6,,,,,,,,
Bang Khae ,"10,300,000",800,"12,875",,2025-07-30 14:50:33,18,https://www.thailand-property.com/land-for-sale/bangkok?page=19,,,,,,,,
Bang Khun Thian ,"2,000,000",160,"12,500",,2025-07-30 14:47:28,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Min Buri ,"37,835,000","3,028","12,495",,2025-07-30 13:17:55,5,https://www.thailand-property.com/land-for-sale/bangkok?page=6,,,,,,,,
Thon Buri ,"7,500,000",604,"12,417",,2025-07-30 13:24:56,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Thawi Watthana ,"2,580,000",212,"12,170",,2025-07-30 13:20:16,7,https://www.thailand-property.com/land-for-sale/bangkok?page=8,,,,,,,,
Prawet ,"2,420,000",200,"12,100",,2025-07-30 14:49:07,17,https://www.thailand-property.com/land-for-sale/bangkok?page=18,,,,,,,,
Prawet ,"2,420,000",200,"12,100",,2025-07-30 13:19:48,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Don Mueang ,"2,900,000",240,"12,083",,2025-07-30 13:24:03,11,https://www.thailand-property.com/land-for-sale/bangkok?page=12,,,,,,,,
Khlong Sam Wa ,"5,000,000",416,"12,019",,2025-07-30 13:21:16,8,https://www.thailand-property.com/land-for-sale/bangkok?page=9,,,,,,,,
Bueng Kum ,"23,000,000","1,948","11,807",,2025-07-30 13:16:48,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Khlong Sam Wa ,"4,500,000",392,"11,480",,2025-07-30 13:14:05,1,https://www.thailand-property.com/land-for-sale/bangkok?page=2,,,,,,,,
Khlong Sam Wa ,"3,375,000",300,"11,250",,2025-07-30 14:48:12,16,https://www.thailand-property.com/land-for-sale/bangkok?page=17,,,,,,,,
Khan Na Yao ,"4,500,000",400,"11,250",,2025-07-30 13:13:58,1,https://www.thailand-property.com/land-for-sale/bangkok?page=2,,,,,,,,
Sai Mai ,"3,800,000",344,"11,047",,2025-07-30 13:16:06,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Bang Bon ,"19,135,000","1,780","10,750",,2025-07-30 14:46:24,14,https://www.thailand-property.com/land-for-sale/bangkok?page=15,,,,,,,,
Bang Khen ,"6,500,000",608,"10,691",,2025-07-30 13:15:14,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Don Mueang ,"5,200,000",488,"10,656",,2025-07-30 13:15:58,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Don Mueang ,"66,200,000","6,420","10,312",,2025-07-30 13:23:35,10,https://www.thailand-property.com/land-for-sale/bangkok?page=11,,,,,,,,
Bang Khae ,"9,500,000",948,"10,021",,2025-07-30 13:20:48,8,https://www.thailand-property.com/land-for-sale/bangkok?page=9,,,,,,,,
Min Buri ,"45,520,000","4,544","10,018",,2025-07-30 13:19:31,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Thawi Watthana ,"6,800,000",680,"10,000",,2025-07-30 13:36:07,13,https://www.thailand-property.com/land-for-sale/bangkok?page=14,,,,,,,,
Thawi Watthana ,"6,800,000",680,"10,000",,2025-07-30 14:47:17,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Bang Khae ,"7,500,000",760,"9,868",,2025-07-30 14:48:17,16,https://www.thailand-property.com/land-for-sale/bangkok?page=17,,,,,,,,
Bang Khen ,"69,000,000","7,000","9,857",,2025-07-30 13:21:06,8,https://www.thailand-property.com/land-for-sale/bangkok?page=9,,,,,,,,
Taling Chan ,"10,690,000","1,092","9,789",,2025-07-30 13:19:38,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Bang Khun Thian ,"7,000,000",716,"9,777",,2025-07-30 13:24:01,11,https://www.thailand-property.com/land-for-sale/bangkok?page=12,,,,,,,,
Bang Khun Thian ,"7,000,000",716,"9,777",,2025-07-30 14:46:18,14,https://www.thailand-property.com/land-for-sale/bangkok?page=15,,,,,,,,
Prawet ,"3,900,000",400,"9,750",,2025-07-30 14:50:27,18,https://www.thailand-property.com/land-for-sale/bangkok?page=19,,,,,,,,
Bang Khae ,"7,500,000",780,"9,615",,2025-07-30 13:16:02,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Sai Mai ,"3,725,000",400,"9,313",,2025-07-30 13:17:44,5,https://www.thailand-property.com/land-for-sale/bangkok?page=6,,,,,,,,
Bang Khen ,"3,200,000",344,"9,302",,2025-07-30 13:20:25,7,https://www.thailand-property.com/land-for-sale/bangkok?page=8,,,,,,,,
Khlong Sam Wa ,"2,800,000",304,"9,211",,2025-07-30 13:17:47,5,https://www.thailand-property.com/land-for-sale/bangkok?page=6,,,,,,,,
Sai Mai ,"4,000,000",440,"9,091",,2025-07-30 13:16:08,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Sai Mai ,"1,250,000",140,"8,929",,2025-07-30 14:50:24,18,https://www.thailand-property.com/land-for-sale/bangkok?page=19,,,,,,,,
Thawi Watthana ,"16,485,000","1,884","8,750",,2025-07-30 13:15:32,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Nong Khaem ,"3,000,000",348,"8,621",,2025-07-30 14:49:14,17,https://www.thailand-property.com/land-for-sale/bangkok?page=18,,,,,,,,
Sai Mai ,"26,000,000","3,200","8,125",,2025-07-30 14:47:23,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Bueng Kum ,"4,650,000",580,"8,017",,2025-07-30 14:49:17,17,https://www.thailand-property.com/land-for-sale/bangkok?page=18,,,,,,,,
Sai Mai ,"4,128,000",516,"8,000",,2025-07-30 13:16:37,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Bang Bon ,"15,000,000","1,912","7,845",,2025-07-30 14:47:01,15,https://www.thailand-property.com/land-for-sale/bangkok?page=16,,,,,,,,
Taling Chan ,"4,400,000",568,"7,746",,2025-07-30 13:22:31,9,https://www.thailand-property.com/land-for-sale/bangkok?page=10,,,,,,,,
Chom Thong ,"11,500,000","1,488","7,728",,2025-07-30 13:23:27,10,https://www.thailand-property.com/land-for-sale/bangkok?page=11,,,,,,,,
Min Buri ,"6,090,000",812,"7,500",,2025-07-30 13:14:41,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Sai Mai ,"12,000,000","1,600","7,500",,2025-07-30 13:15:31,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Khlong Sam Wa ,"3,000,000",400,"7,500",,2025-07-30 13:25:14,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Bang Khun Thian ,"5,800,000",800,"7,250",,2025-07-30 13:25:18,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Bang Khun Thian ,"5,800,000",800,"7,250",,2025-07-30 13:20:40,7,https://www.thailand-property.com/land-for-sale/bangkok?page=8,,,,,,,,
Min Buri ,"8,900,000","1,228","7,248",,2025-07-30 13:14:56,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Bang Khun Thian ,"116,700,000","16,680","6,996",,2025-07-30 13:15:29,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Taling Chan ,"5,122,000",788,"6,500",,2025-07-30 13:20:50,8,https://www.thailand-property.com/land-for-sale/bangkok?page=9,,,,,,,,
Taling Chan ,"38,125,000","6,100","6,250",,2025-07-30 13:19:29,6,https://www.thailand-property.com/land-for-sale/bangkok?page=7,,,,,,,,
Min Buri ,"4,580,000",800,"5,725",,2025-07-30 13:14:07,1,https://www.thailand-property.com/land-for-sale/bangkok?page=2,,,,,,,,
Thawi Watthana ,"1,100,000",200,"5,500",,2025-07-30 14:46:13,14,https://www.thailand-property.com/land-for-sale/bangkok?page=15,,,,,,,,
Sai Mai ,"5,500,000","1,000","5,500",,2025-07-30 13:15:19,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Nong Chok ,"139,952,500","26,344","5,313",,2025-07-30 13:25:01,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Sai Mai ,"11,500,000","2,282","5,039",,2025-07-30 13:36:12,13,https://www.thailand-property.com/land-for-sale/bangkok?page=14,,,,,,,,
Thawi Watthana ,"2,047,500",468,"4,375",,2025-07-30 13:16:04,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Nong Chok ,"60,726,250","14,940","4,065",,2025-07-30 13:25:02,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Bang Khen ,"6,500,000","1,600","4,063",,2025-07-30 13:16:40,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Khlong Sam Wa ,"6,300,000","1,600","3,938",,2025-07-30 13:14:16,1,https://www.thailand-property.com/land-for-sale/bangkok?page=2,,,,,,,,
Thawi Watthana ,"4,080,000","1,088","3,750",,2025-07-30 13:16:43,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Thawi Watthana ,"999,900",296,"3,378",,2025-07-30 13:24:48,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Khlong Sam Wa ,"150,000,000","49,068","3,057",,2025-07-30 14:46:22,14,https://www.thailand-property.com/land-for-sale/bangkok?page=15,,,,,,,,
Nong Chok ,"1,200,000",400,"3,000",,2025-07-30 13:25:16,12,https://www.thailand-property.com/land-for-sale/bangkok?page=13,,,,,,,,
Bang Na ,"181,000,000","64,000","2,828",,2025-07-30 13:15:27,3,https://www.thailand-property.com/land-for-sale/bangkok?page=4,,,,,,,,
Lat Krabang ,"2,976,300","1,060","2,808",,2025-07-30 14:50:29,18,https://www.thailand-property.com/land-for-sale/bangkok?page=19,,,,,,,,
Nong Chok ,"2,100,000",800,"2,625",,2025-07-30 13:16:39,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Nong Chok ,"15,000,000","6,712","2,235",,2025-07-30 13:16:55,4,https://www.thailand-property.com/land-for-sale/bangkok?page=5,,,,,,,,
Thawi Watthana ,"1,750,000",832,"2,103",,2025-07-30 13:14:53,2,https://www.thailand-property.com/land-for-sale/bangkok?page=3,,,,,,,,
Nong Chok ,"2,890,000","1,676","1,724",,2025-07-30 13:24:10,11,https://www.thailand-property.com/land-for-sale/bangkok?page=12,,,,,,,,
Nong Chok ,"4,800,000","4,800","1,000",,2025-07-30 13:21:59,9,https://www.thailand-property.com/land-for-sale/bangkok?page=10,,,,,,,,